,0,1
0,4.411164,-1.4160416
1,-2.0331092,2.035499
2,2.0757012,-1.9370686
3,2.2962646,-1.92067
4,1.0772235,2.0505717
5,-3.8417401,-0.59012187
6,-1.2173288,2.112773
7,5.157344,0.04270053
8,5.1092014,-1.1079483
9,2.3109562,-2.1573942
10,3.6110234,-1.8948066
11,1.5049192,1.0874431
12,2.307698,-1.9259173
13,-2.5682988,1.5283687
14,4.1365957,-1.3603773
15,1.2975227,-2.144449
16,5.2404127,0.20710006
17,3.7507849,-1.3075624
18,4.737223,-1.0200883
19,2.348688,0.14603177
20,-4.1044693,-1.1068649
21,2.0654309,1.189956
22,1.5495609,1.3617791
23,4.8432584,-0.94527817
24,4.892849,-0.6755975
25,4.889345,-0.41623893
26,-0.56122327,2.3611412
27,0.8717373,1.6809742
28,2.3569398,0.6921127
29,2.2500422,-2.1788917
30,3.4073539,-1.8895425
31,2.8389285,-1.5787065
32,-1.2203,2.2389581
33,0.9182384,1.7768049
34,4.164491,-2.0487742
35,-3.617344,-0.48371068
36,-2.8128324,1.5329529
37,-3.115131,1.112639
38,-2.5320504,1.7833325
39,1.440746,0.29101858
40,-0.08171791,-0.62210685
41,3.049483,-2.1538532
42,2.3757048,-0.8839213
43,-0.06573379,2.6985216
44,-3.6734343,-0.52425265
45,4.352165,-1.4630842
46,-1.7881923,2.0003233
47,2.2326393,0.44248787
48,-2.8718624,1.5098641
49,2.0725884,-1.9710356
50,5.323944,-0.8464973
51,-1.3377657,2.1541424
52,-3.673711,0.22969377
53,0.114058465,-1.0514641
54,1.977607,0.27433234
55,-2.567659,-0.29822087
56,4.754554,-1.0207149
57,-2.6232572,0.60163623
58,-2.4348562,1.7142226
59,3.2244222,-1.9106445
60,-3.96071,0.63075906
61,-1.3254247,2.064068
62,1.7219883,1.5909787
63,-3.8152232,0.39151666
64,-2.4394388,-0.34286126
65,1.3635715,-1.8415183
66,2.0166063,1.3929834
67,-3.9334917,-0.079910666
68,-1.9757605,2.002129
69,-2.665921,1.5879427
70,0.1377766,2.4784484
71,1.2320864,-2.1187444
72,2.3842144,-2.024337
73,5.3542047,0.5981889
74,4.440841,0.89916325
75,-0.34653273,-0.99705577
76,-1.3411798,1.9909124
77,2.3860877,-1.9191928
78,5.270503,-0.32337487
79,0.80680174,1.9726765
80,-1.8787925,2.2132428
81,1.5048456,-0.14962368
82,4.4982333,-1.0211779
83,-3.4564223,-0.058434755
84,-2.9971342,1.484765
85,-3.6994877,0.22620761
86,0.86986434,-1.3315614
87,3.1450193,-1.8363949
88,0.94270384,-2.1036513
89,1.7548131,1.58562
90,2.0828056,-1.9716703
91,3.2826893,-1.7845017
92,-1.9083661,2.2428453
93,1.6591113,1.6680211
94,4.556163,-1.8011906
95,0.12499738,2.1187081
96,4.7452965,-0.9119898
97,-4.046878,0.36967406
98,3.6389918,-1.4410025
99,-0.7550246,-0.7976359
100,4.067273,-1.7617302
