,0,1
0,4.1160855,-1.56472
1,-2.210053,1.8844202
2,1.1829803,-1.6869841
3,1.4148126,-1.789137
4,0.70868343,2.168331
5,-3.830379,-0.5404539
6,-1.6882322,2.010198
7,5.0243516,0.060271278
8,4.8942714,-1.0239805
9,1.6039602,-2.0719278
10,3.0346167,-2.0345087
11,1.02328,1.5057951
12,1.4692408,-1.834799
13,-2.7010534,1.4877704
14,3.878427,-1.5171965
15,0.83545727,-1.8669248
16,5.133664,0.42085627
17,2.9322593,-1.2735615
18,4.614832,-0.9624015
19,2.1384733,0.42216045
20,-4.0115733,-0.76160204
21,1.7300732,1.310563
22,1.034369,1.6764412
23,4.7195506,-0.9010001
24,4.7914777,-0.6371884
25,4.2609925,-0.34220743
26,-0.9210907,2.2896452
27,0.42924985,2.0000596
28,1.8466192,1.0589812
29,1.4793708,-2.0624511
30,2.9077377,-2.0637505
31,2.1203773,-1.7147509
32,-1.6453019,2.0659397
33,0.51414496,2.0431743
34,3.697332,-1.9745086
35,-3.528975,-0.4510271
36,-2.845546,1.4131314
37,-3.2271547,0.90802515
38,-2.465623,1.7452697
39,0.8997888,0.87851346
40,-0.4216201,-0.4435584
41,2.3427927,-2.2443507
42,1.8023518,-1.2495385
43,-0.19348335,2.5073287
44,-3.662287,-0.49046436
45,3.956212,-1.6882602
46,-2.0398903,1.8879113
47,1.9565134,0.67570317
48,-2.906177,1.359453
49,1.1523054,-1.7000664
50,5.030675,-0.8445817
51,-1.7531073,2.0183728
52,-3.5978107,0.24176814
53,-0.2648595,-0.8270404
54,1.8541588,0.5975945
55,-2.8775344,-0.33965412
56,4.635556,-0.95814526
57,-2.8925924,0.60713387
58,-2.5069292,1.6691844
59,2.778768,-2.0559878
60,-3.560009,0.5541326
61,-1.7854216,1.968953
62,1.2458866,1.7310479
63,-3.6001618,0.33793628
64,-2.8888311,-0.38812116
65,0.7381952,-1.639418
66,1.6595174,1.4335378
67,-3.7616107,-0.02904591
68,-2.2250686,1.8342869
69,-2.690899,1.540803
70,-0.20148313,2.4135275
71,0.7106835,-1.8006719
72,1.6895702,-1.9699274
73,3.9585564,0.7163763
74,2.0404623,1.1635777
